GeneStableID	Gene name	Cat gene stable ID	Cow gene stable ID	Dog gene stable ID	Horse gene stable ID	Monkey gene stable ID	Opossum gene stable ID	Pig gene stable ID	Rabbit gene stable ID	Rat gene stable ID	Sheep gene stable ID	HumanSF_A	HumanSF_B	HumanSF_C	HumanSF_D	HumanSF_E	HumanSF_F	Human_mix_pro	CatSF_1	CatSF_2	CatSF_3	Cat_mix_pro	CowSF_A	CowSF_B	CowSF_C	Cow_mix_pro	DogSF_A	DogSF_B	DogSF_C	Dog_mix_pro	Horse_1	Horse_2	Horse_3	Horse_mix_pro	Monkey_1	Monkey_2	Monkey_mix_pro	OpposumSF_A	OpposumSF_B	OpposumSF_C	Opposum_mix_pro	PigSF_A	PigSF_B	PigSF_C	Pig_mix_pro	RabbitSF_A	RabbitSF_B	RabbitSF_C	Rabbit_mix_pro	Rat_A	Rat_B	Rat_F	Rat_mix_pro	SheepSF_1	SheepSF_2	SheepSF_3	Sheep_mix_pro
ENSG00000100147	CCDC134	ENSFCAG00000037479	ENSBTAG00000021173	ENSCAFG00000001018	ENSECAG00000020771	ENSMMUG00000011531	ENSMODG00000038878	ENSSSCG00000035565	ENSOCUG00000013355	ENSRNOG00000007262	ENSOARG00000018655	44944.92188	47438.77344	41454.57031	43359.05078	42453.39844	42285.63672	48196.64844	4437.54248	5015.24707	5052.09082	4635.140137	72646.02344	62180.99609	65628.375	60700.80859	18203.79688	20926.16016	22699.78711	24307.72266	23154.08008	30242.1543	29759.77539	23605.67773	41442.21484	85473.65625	59288.16406	26258.31055	32782.88281	35422.46875	42390.32422	25884.9043	26106.45508	22065.5918	21894.56836	136882.375	131256.2344	136877.3281	178379.0156	50028.33984	36363.23438	40851.77734	44046.21094	70307.64844	59259.94141	50033.69531	36782.82422
ENSG00000091986	CCDC80	ENSFCAG00000022270	ENSBTAG00000010793	ENSCAFG00000010530	ENSECAG00000019861	ENSMMUG00000003061	ENSMODG00000018118	ENSSSCG00000011928	ENSOCUG00000023764	ENSRNOG00000002052	ENSOARG00000019332	72875.89063	86568.47656	84748.125	80391.875	72768.96875	77598.46094	64388.67188	243982.3594	231805.6875	228495.7813	209910.3438	265622.3125	282255.7188	305450.8438	256233	134601.4063	139131.2344	139881.5313	143418.4688	193316.9844	178800.2969	151139.75	184643.2656	288300.2813	1210081.5	511840.125	381817.7188	461184.9375	360217.6875	448075.875	88902.47656	85330.97656	62040.23828	74416.13281	522153.4063	523832.9375	476614.7188	599102.375	1109714.125	799528.875	580597.125	697137.625	213194.3281	212634.4063	163759.5938	192442.7188
ENSG00000048649	RSF1	ENSFCAG00000007449	ENSBTAG00000020268	ENSCAFG00000004897	ENSECAG00000010685	ENSMMUG00000017355	ENSMODG00000004917	ENSSSCG00000014882	ENSOCUG00000011923	ENSRNOG00000024194	ENSOARG00000006933	61841.82813	57670.78906	72806.45313	69496.5	62499.65625	69512.75	74133.76563	14080.79883	14544.70117	14615.39355	17794.25	21362.38672	20485.79297	19689.33203	20657.49023	9023.587891	11816.90234	11597.02441	99803.95313	30676.95313	29688.62695	37187.21094	37901.87109	44112.92578	54916.625	41245.85156	123162.1719	167788.0313	187515.6094	50162.25391	77055.85938	87750.16406	79737.90625	76208.125	27624.74219	26513.54883	30603.76563	27679.9082	25941.27734	16893.73047	25308.75391	22457.17773	83248.92969	89547.45313	86356.52344	79018.96094
ENSG00000148358	GPR107	ENSFCAG00000005107	ENSBTAG00000004204	ENSCAFG00000019954	ENSECAG00000008964	ENSMMUG00000004200	ENSMODG00000007041	ENSSSCG00000038868	ENSOCUG00000014841	ENSRNOG00000023589	ENSOARG00000008114	16230.59473	22364.26367	21611.24414	18677.21484	22575.24609	22433.22461	24911.63086	59481.12891	54363.89844	55104.26953	75143.58594	13752.58398	13517.1875	16926.28125	13979.21484	13062.75684	5865.546387	5001.612793	10830.73828	79566.36719	85270.03125	99611.24219	123905.625	35017.72656	25768.71094	32786.80859	40650.25	38467.61328	38005.125	40340.94141	7937.055176	33632.90625	24787.71094	25280.11133	222917.9219	189946.6719	186369.3906	433397.875	42045.51953	43397.09375	31951.18945	44535.51563	0	6410.763672	6045.416504	17725.93164
ENSG00000133030	MPRIP	ENSFCAG00000025833	ENSBTAG00000010534	ENSCAFG00000018501	ENSECAG00000021225	ENSMMUG00000013343	ENSMODG00000004691	ENSSSCG00000036812	ENSOCUG00000013229	ENSRNOG00000003226	ENSOARG00000002206	208140.5156	206819.2188	186719.125	201456.6563	195385.9531	196278.2656	175864.9531	320142.4063	329898.1563	305397.9375	326549.8594	918561.25	746894.1875	796794.375	769258	421293.2813	468360.8125	515683.0313	474132.2813	232743.7917	281144.8177	321890.0339	384439.5833	238122.4922	226122.3594	220429.1328	291696.25	276235.0313	248767.125	577212.6875	239359.3438	229615.7969	143519.625	198430.8281	822035.375	728422.4375	784237.125	779521.6875	190697.1563	238450.0156	261806.7422	259887.2656	717364.5	361124.0313	380710.3438	334161.4063
ENSG00000196497	IPO4	ENSFCAG00000005587	ENSBTAG00000002707	ENSCAFG00000012049	ENSECAG00000009909	ENSMMUG00000012481	ENSMODG00000003337	ENSSSCG00000002000	ENSOCUG00000002881	ENSRNOG00000019553	ENSOARG00000019188	431371.6875	420484.6563	492256.875	461725.6875	415510.1875	450440.8125	337318.9688	456966.5	383553.125	479211.0313	370958.4375	459599.5313	455346.3125	455579.75	518442.0313	306351.0625	306374.25	250967.75	286442.5625	541105	445816.6563	691245	681527.375	491559.3125	575514.6875	498876.8125	323138.5938	293289.0313	337903.375	221765.9844	408038.0273	427846.3359	412682.6016	432370.0781	471763.1563	442475.8438	443937.1563	408094.0938	426014.1875	376396.7813	487313.5625	495745.7813	365249.0313	308644.1875	269957.125	349175.0938
ENSG00000132376	INPP5K	ENSFCAG00000006292	ENSBTAG00000011479	ENSCAFG00000019181	ENSECAG00000016734	ENSMMUG00000002373	ENSMODG00000010327	ENSSSCG00000030707	ENSOCUG00000000073	ENSRNOG00000056954	ENSOARG00000012783	49835.76172	45067.55078	51235.67578	43477.26563	42023.24219	50572.74609	41173.61328	32325.23438	24413.36133	25514.77734	24304.9043	59452.65234	71333.70313	64486.82422	50502.26172	98780.99219	99391.13281	103143.1016	115063.5625	42420.04688	49559.19531	59551.3125	54827.89453	202914.2813	203191.8281	176309.0156	32050.83789	31932.94141	31592.83203	12759.01465	47615.25	45510.55078	51141.8125	40790.78516	87704	78765.73438	78588.73438	65884.17969	203576.0781	169673.7813	210921.7188	183549.2969	54366.26563	60787.54688	57675.84375	39646.37891
ENSG00000153015	CWC27	ENSFCAG00000029156	ENSBTAG00000000037	ENSCAFG00000007301	ENSECAG00000000738	ENSMMUG00000015041	ENSMODG00000019638	ENSSSCG00000016942	ENSOCUG00000029499	ENSRNOG00000013252	ENSOARG00000006458	115558.3125	119316.1484	131738.1406	104181.9922	104749.7656	132033.8281	76573.05469	27623.0918	30360.30664	29567.91797	26407.77539	53503.5	38426.15625	41596.56641	35997.02344	34685.79688	27950.66406	51686.93359	19204.18945	26166.86914	30473.69141	35773.67188	28302.04102	65437.33203	77940.45313	50369.51953	53346.28516	56252.76953	61579.92969	38584.62109	147065.8438	150353.7656	142680.8281	106506.3828	199153.375	186268.0156	194388.3438	144073.5156	41849.57813	32286.78516	44131.61719	31927.85938	151220.3125	157121.0938	147847.9219	118507.8047
ENSG00000165699	TSC1	ENSFCAG00000007112	ENSBTAG00000005190	ENSCAFG00000019882	ENSECAG00000009564	ENSMMUG00000009918	ENSMODG00000012592	ENSSSCG00000046003	ENSOCUG00000029457	ENSRNOG00000011470	ENSOARG00000005657	126300.6094	120485.6406	124354.6719	120372.8594	110553.9844	121713.4922	112917.8516	45157.9082	43272.4375	48154.48047	39311.01172	74221.10938	75739.03125	74191.65625	66593.5	40751.80469	36010.97656	34903.14453	35206.64844	13447.84473	12005.68945	13551.06641	20089.13672	37757.23047	24761.02344	29412.17578	15910.03125	17887.25586	18394.76172	12356.14063	42066.33984	31594.96484	29245.26563	28778.82031	113460.3672	89690.48438	95031.50781	80499.71875	79872.6875	58691.35938	65526.4375	66221.14844	47362.46094	47468.23828	40637.78516	43808.98828
ENSG00000196535	MYO18A	ENSFCAG00000007047	ENSBTAG00000017380	ENSCAFG00000018868	ENSECAG00000020855	ENSMMUG00000009938	ENSMODG00000019323	ENSSSCG00000017783	ENSOCUG00000015290	ENSRNOG00000033101	ENSOARG00000006006	184957.7344	180716.7969	209762.2344	190482.625	170250.4688	180371.0469	201903.375	202946.6094	206127.5625	215539.75	419160.5938	82696.89063	78447.82031	84258.82813	63738.44922	93401.67188	91463.64063	103508.6641	95205.51563	157856.5	176699.9844	186787.8906	239762.9688	104906.9297	88518.6875	106796.1953	80793.92188	95777.07813	78790.45313	73885.82813	425936.9063	465539.625	459807.625	454296.5625	160343.5938	135654.875	154819.9063	112104.9688	164920.3281	146634.5469	158347.2344	236919.9219	146157.5469	132726.375	154819.2188	142898.5156
ENSG00000100201	DDX17	ENSFCAG00000031570	ENSBTAG00000009887	ENSCAFG00000001395	ENSECAG00000025110	ENSMMUG00000004304	ENSMODG00000009681	ENSSSCG00000000104	ENSOCUG00000004982	ENSRNOG00000051170	ENSOARG00000015489	1066808.375	1150828.75	1064213.5	977013.3125	1027772.063	1071471.625	1068331.375	594549	560948.875	612299.625	527861.9375	2368544.5	2837023.25	2452541.5	2346768.75	407105.3438	455150.75	421223.6563	432432.8125	1993999.625	2699305.25	2424715.75	2806103.25	4203052	4587964.5	4028855.75	283064.75	313272.8125	320325.8438	336897.0938	2689805.75	2828034	2740114.844	2774084.281	1485343.375	1392013.5	1504044.5	1225906.875	2369144	1772998.875	2359105.75	2120920.75	1356270.625	1428346.375	1338344	1300866.25
ENSG00000108963	DPH1	ENSFCAG00000006310	ENSBTAG00000009376	ENSCAFG00000019253	ENSECAG00000024435	ENSMMUG00000010699	ENSMODG00000010575	ENSSSCG00000028078	ENSOCUG00000013008	ENSRNOG00000003116	ENSOARG00000014721	37406.56641	35412.92969	37324.05469	32226.57031	36659.76953	35258.80469	34684.71875	81871.85156	92393.98438	87234.46094	77353.6875	136217.9844	129373.6953	127404.8203	117511.8594	22950.18359	23371.66016	16806.32422	18362.19727	32715.64258	52327.83594	49639.64844	67097.375	82227.46029	75811.4349	72982.23047	30340.14258	32784.71484	33756.5625	25489.42969	85416.52344	75986.21875	86542.57813	77409.32031	30189.79102	29437.54102	30110.76367	28265.22266	48168.0625	45449.40234	42761.55469	48463.25	109341.125	131884.0938	117132.9453	112868.9219
ENSG00000134250	NOTCH2	ENSFCAG00000009649	ENSBTAG00000007909	ENSCAFG00000010476	ENSECAG00000015266	ENSMMUG00000018375	ENSMODG00000018700	ENSSSCG00000006709	ENSOCUG00000016565	ENSRNOG00000018835	ENSOARG00000020442	221714.3906	222014.9688	235889.1719	277618.3438	239727.25	249985.7656	226489.9219	161473.7813	159716.9531	261835.7656	187018.8906	133122.7813	153185.9531	142773.8594	151211.1563	81691.875	62046.96875	68530.375	80563.11719	124925.9766	93235.71875	139378.6563	147730.7656	301070.5938	370767.125	265711.3125	74300.84375	83426.80469	71132.85938	87881.27344	231759.2188	268455.375	242662.8594	241528.7031	324338.0625	253954.125	263686.125	235256.7031	253062.3438	143856.1094	223323.0156	201019.9063	301648	263361.1875	267723.3438	310668.2813
ENSG00000115866	DARS1	ENSFCAG00000014295	ENSBTAG00000009949	ENSCAFG00000005161	ENSECAG00000024197	ENSMMUG00000040854	ENSMODG00000001056	ENSSSCG00000015689	ENSOCUG00000014790	ENSRNOG00000003743	ENSOARG00000010544	1770033.375	1788460.25	1917658	1549251.5	1632689	1773460.875	1493195.5	1157416.375	1033996.125	1114518.25	1042279.25	1446210.125	1210890.125	1161059.25	1325232	1724740.5	1778194.875	1830163.375	1752558.25	522832.9063	647907.6875	712906.375	757353.6875	2668447	2671309	2703866.5	1379312.625	1403915.375	1385003.5	1354586.5	2937398	2740889.5	2884724.75	3035470.25	1594585.094	1452862.75	1590722.156	1417741.5	1960824.625	1549400.125	1940208.75	1679201.75	2316727.5	2476345	2440185.75	2399852.75
ENSG00000106524	ANKMY2	ENSFCAG00000009108	ENSBTAG00000010980	ENSCAFG00000002428	ENSECAG00000014046	ENSMMUG00000017041	ENSMODG00000001600	ENSSSCG00000015360	ENSOCUG00000016409	ENSRNOG00000005623	ENSOARG00000008635	97475.83594	102618.5859	106110.2266	115867.3906	100078.6406	94156.35938	108889.1172	83730.92969	77619.23438	78197.61719	71191.32031	60297.06641	57620.48828	65251.82813	64678.10938	37875.03906	38091.01953	32054.67773	41141.625	57349.56641	91507.84375	83305.72656	90568.96875	94566.35156	64084.42188	101039.125	86126.36719	86073.85938	84425.54688	81098.40625	165793.9844	184889.1094	192271.7344	178192.4844	178196.1094	160692.8281	154980.2031	152551.9219	99031.65625	113578.4141	110211.8438	96697.32031	94806.55469	82737.82031	87236.92969	91900.58594
ENSG00000119787	ATL2	ENSFCAG00000010761	ENSBTAG00000016167	ENSCAFG00000006181	ENSECAG00000023470	ENSMMUG00000008463	ENSMODG00000008585	ENSSSCG00000008487	ENSOCUG00000016184	ENSRNOG00000006523	ENSOARG00000009069	48579.94922	51628.75	34322.25	40753.66797	42071	41916.28125	41186.07813	50201.19141	63964.98828	55079.78906	49721.95703	52969.77344	53713.45703	54891.49609	72465.76563	57113.53906	51491.91016	40919.70313	78725.23438	38042.45703	52089.59375	51709.78516	64561.35156	56706.21484	55506.14063	55442.06641	75595.10938	77021.57813	81069.6875	59467.25391	178591.2031	160703.9063	182662.4688	161705.7969	63804.84375	69544.96094	77369.625	80585.39063	49280.05469	56070.14063	51059.35547	48046.11719	80607.73438	58134.95313	56660.09766	72246.13281
ENSG00000116729	WLS	ENSFCAG00000012564	ENSBTAG00000012976	ENSCAFG00000020432	ENSECAG00000012045	ENSMMUG00000022908	ENSMODG00000000754	ENSSSCG00000003795	ENSOCUG00000000532	ENSRNOG00000036816	ENSOARG00000011383	258983.2969	289366.75	204294	240813.7031	267612.2813	257998.0781	229162.6563	144988.6719	133082.4063	152430	138270.7813	116161.5625	112783.5156	110589.8438	105792.8203	189422.5	171640.2656	153390.5156	182917.625	52960.11719	23660.49219	57070.69141	49588.5625	487154.5625	183620.6719	373992.125	51585.71094	56188.32422	57188.07422	50122.94922	111767.9922	107126.3203	93450.9375	108798.75	170135.7344	186059.1875	203314.7813	204750.0469	332500.5625	399959.0313	326110.2813	370028.4063	156833.8906	121656.0703	85008.64844	125931.7813
ENSG00000124181	PLCG1	ENSFCAG00000009032	ENSBTAG00000017584	ENSCAFG00000009082	ENSECAG00000021031	ENSMMUG00000005905	ENSMODG00000000626	ENSSSCG00000007356	ENSOCUG00000008231	ENSRNOG00000051490	ENSOARG00000001700	160375.2188	164152.1563	153327.75	170499.9219	154423.8594	153361.25	163751.0625	101015.9453	102412.875	103411.4063	129525.9297	44417.19141	41698.83594	45304.79297	136210.9219	40005.79688	45868.17188	42466.09375	48786.23047	41007.17188	46052.07422	55856.09766	63301.20703	99724.21094	101790.1328	105004.4141	122484.9688	142104.4844	139844.5	264300.75	89144.8125	83079.54688	77238.16406	74333.8125	153594.4531	149454	164578.2656	146404.8594	187780.8281	175822.7188	185570.2031	178040.4063	188816.4063	187359.7188	208356.6719	155245.8438
ENSG00000188976	NOC2L	ENSFCAG00000003356	ENSBTAG00000016528	ENSCAFG00000019369	ENSECAG00000023976	ENSMMUG00000015800	ENSMODG00000018641	ENSSSCG00000023973	ENSOCUG00000011036	ENSRNOG00000021392	ENSOARG00000007909	124228.1016	121432.0313	102228.5938	163250.8594	145059.1563	142048.9688	149387.7344	115552.7344	121136.9766	126841.0234	159212.0938	91744.29688	95182.97656	79276.25	83274.77344	77071.60156	74315.65625	81676.47656	82992.40625	70397.98438	91775.53906	77887.11719	92616.5	237217.9219	268545.125	243797.9063	158334.625	193890.9063	146387.6875	313761.0313	349144.0938	352022.0625	323562.125	368218.375	122368.7813	126584.6406	130511.8203	111296.0156	104753.3672	72573.78906	97489.625	86419.20313	166751.625	146184.6563	106498.3672	146582.4375
ENSG00000170242	USP47	ENSFCAG00000000922	ENSBTAG00000010919	ENSCAFG00000007754	ENSECAG00000020838	ENSMMUG00000022860	ENSMODG00000008494	ENSSSCG00000013402	ENSOCUG00000004832	ENSRNOG00000026754	ENSOARG00000009607	185085.5313	184151.9531	212972.0625	197909.2031	181669.7031	197441.9688	184961.75	292269.2188	276378.625	308315.0938	282048.5938	150636.0625	166257.8438	144737.5156	146325.8125	223722.0313	205974.3594	231129.2969	205646.7969	112845.8359	157455.2969	165568.4531	174607.9375	176790.2344	186803.5469	161541.1563	207735.2188	191130.6875	207453.2656	125024.7891	123349.0566	137212.8164	127519.5352	120688.8828	281852.5313	235725.7813	269756.3438	362225.625	253233.4063	226808.9844	276456.9688	254546.4375	136774.2969	142406.5156	169474.875	164944.8594
ENSG00000204568	MRPS18B	ENSFCAG00000007686	ENSBTAG00000006936	ENSCAFG00000000411	ENSECAG00000022485	ENSMMUG00000006525	ENSMODG00000015933	ENSSSCG00000029425	ENSOCUG00000002149	ENSRNOG00000000804	ENSOARG00000012647	102242.2344	97212.67969	81146.03125	88274.07031	84581.875	87338.85938	104153.625	67446.74219	68901.14063	73033.53125	72949.25781	99650.85156	94698.46094	102749.1484	90909.26563	126731.2969	117545.6406	113078.3594	131472.7031	48469.90625	72361.27344	46357.80078	121792.4219	308904.1875	362196.5	310421.5313	67638.46094	74220.96875	69553.89063	63709.45313	258033.0156	268225.0625	256226.4063	234515.8906	174708.2344	158044.9688	160090.1094	182380.2188	99547.42188	91359.10938	76238.64063	87995.67969	110508.2031	114170.25	118261.7031	106861.875
ENSG00000204569	PPP1R10	ENSFCAG00000007682	ENSBTAG00000006933	ENSCAFG00000000406	ENSECAG00000010033	ENSMMUG00000006524	ENSMODG00000015941	ENSSSCG00000001347	ENSOCUG00000002132	ENSRNOG00000059268	ENSOARG00000012809	81729.95313	80184.1875	74048.63281	72541.78125	75803.96875	77328.76563	81439.70313	44225.61328	49335.875	49430.41797	53278.19531	62255.45313	58926.26953	58040.26953	45281.96875	23880.37109	20814.39648	23728.92969	23504.10547	35195.80469	43390.17188	44282.47266	51753.93359	105144.7344	106020.4766	123470.1172	52112.27344	54386.375	54691.72656	37598.57031	95149.75	96295.4375	100876.1875	104034.5	56951.91406	59818.91016	55847.64063	90206.89063	57617.84766	40908.44922	54554.53906	73072.6875	90224.76563	85385.99219	90719.3125	99013.15625
