Gene	Mean.UTR5.Length_Mouse	Median.UTR5.Length_Mouse	Human	Mean.UTR5.Length_Human	Median.UTR5.Length_Human
ENSMUSG00000000411	416	416	ENSG00000162526	163	163
ENSMUSG00000000416	86	86	ENSG00000077063	26	26
ENSMUSG00000000420	141.2	105	ENSG00000141429	105.66666666666667	103
ENSMUSG00000000435	203	203	ENSG00000111049	152	152
ENSMUSG00000000439	86	86	ENSG00000075975	185.5	131
ENSMUSG00000000440	132.8	65	ENSG00000132170	228.91666666666666	90
ENSMUSG00000000441	234	276	ENSG00000132155	324.53846153846155	286
ENSMUSG00000000486	121	121	ENSG00000180096	52	56
ENSMUSG00000000489	810	810	ENSG00000100311	528	528
ENSMUSG00000000530	70.75	63.5	ENSG00000139567	103	93.5
ENSMUSG00000000531	114	114	ENSG00000161835	78.75	64.5
ENSMUSG00000000532	78	78	ENSG00000135503	63	45
ENSMUSG00000000538	97	97	ENSG00000175662	147.28571428571428	97
ENSMUSG00000000544	209.5	209.5	ENSG00000143167	90	90
ENSMUSG00000000552	68.5	70	ENSG00000161642	106.75	95.5
ENSMUSG00000000555	237	237	ENSG00000161638	68	68
ENSMUSG00000000560	145.5	145.5	ENSG00000151834	204.33333333333334	153.5
ENSMUSG00000000561	215	215	ENSG00000116455	87	87
ENSMUSG00000000562	206	154	ENSG00000282608	168.5	168.5
ENSMUSG00000000563	272.5	272.5	ENSG00000116459	68	68
ENSMUSG00000000567	361	361	ENSG00000125398	372	372
ENSMUSG00000000568	307.75	312	ENSG00000138668	132.9	71.5
ENSMUSG00000000579	139	139	ENSG00000146425	35	35
ENSMUSG00000000581	37	37	ENSG00000197223	48.125	43
ENSMUSG00000000594	49	49	ENSG00000196743	32	32
ENSMUSG00000000600	144.6	79	ENSG00000001631	303.15384615384613	139.5
ENSMUSG00000000605	141.83333333333334	130	ENSG00000073464	95.42857142857143	74
ENSMUSG00000000606	181	181	NA	NA	NA
ENSMUSG00000000617	107.33333333333333	155	ENSG00000113262	121	54
ENSMUSG00000000627	146	146	ENSG00000135622	125.33333333333333	130
ENSMUSG00000000628	198.66666666666666	101	ENSG00000159399	214.66666666666666	169
ENSMUSG00000000631	75	75	ENSG00000196535	93.6	81
ENSMUSG00000000632	154	154	ENSG00000063015	161.33333333333334	164
ENSMUSG00000000673	64.5	64.5	ENSG00000162882	47	47
ENSMUSG00000000682	98	98	ENSG00000169442	60	60
ENSMUSG00000000686	78	78	ENSG00000168792	71	71
ENSMUSG00000000690	218	110	ENSG00000108511	192.4	125
ENSMUSG00000000693	72	72	ENSG00000115318	118.5	75
ENSMUSG00000000701	71	71	NA	NA	NA
ENSMUSG00000000706	85.66666666666667	94	ENSG00000124557	59.666666666666664	57
ENSMUSG00000000708	359	359	ENSG00000114166	32	32
ENSMUSG00000000711	88.5	88.5	ENSG00000111540	70.25	75
ENSMUSG00000000724	2	2	ENSG00000108255	5	5
ENSMUSG00000000730	144.8	108	ENSG00000279493	NA	NA
ENSMUSG00000000731	57	57	ENSG00000160224	131	131
ENSMUSG00000000732	223	223	ENSG00000277117	NA	NA
ENSMUSG00000000738	136.33333333333334	77	ENSG00000197912	91.81818181818181	32
ENSMUSG00000000739	45	45	ENSG00000213648	38.5	38.5
ENSMUSG00000000740	51	51	ENSG00000167526	61.333333333333336	30.5
ENSMUSG00000000743	88	88	ENSG00000131165	106.58333333333333	111
ENSMUSG00000000751	59	59	ENSG00000132383	89	89
ENSMUSG00000000753	90	57	ENSG00000132386	31	31
ENSMUSG00000000759	218	218	ENSG00000126216	157.66666666666666	155
ENSMUSG00000000766	129.33333333333334	105	ENSG00000112038	401.4	226.5
ENSMUSG00000000776	98.33333333333333	115	ENSG00000168495	90.33333333333333	51
ENSMUSG00000000782	66.33333333333333	29	ENSG00000081059	149.33333333333334	131.5
ENSMUSG00000000787	143	143	ENSG00000215301	263.6363636363636	140.5
ENSMUSG00000000791	85.5	85.5	ENSG00000096996	136.66666666666666	111
ENSMUSG00000000792	96	96	ENSG00000105641	375	375
ENSMUSG00000000794	305	305	ENSG00000143603	227.8	314
ENSMUSG00000000804	270	270	ENSG00000129204	394	162
ENSMUSG00000000805	99	99	ENSG00000167434	62	62
ENSMUSG00000000811	256	256	ENSG00000197763	122.5	122.5
ENSMUSG00000000817	84	36	ENSG00000117560	78.5	78.5
ENSMUSG00000000823	192.5	192.5	ENSG00000196700	59.5	59.5
ENSMUSG00000000826	107.2	112	ENSG00000101152	104.5	104.5
ENSMUSG00000000827	121.4	127	ENSG00000101150	101	96
ENSMUSG00000000838	122.5	104	ENSG00000102081	123.80952380952381	102
ENSMUSG00000000861	199.6	218	ENSG00000119866	280.75	294.5
ENSMUSG00000000869	152.25	144	ENSG00000113520	63.5	63.5
ENSMUSG00000000876	69	69	ENSG00000101417	107.5	107.5
ENSMUSG00000000881	273	336	ENSG00000082458	250	330
ENSMUSG00000000884	76	66	ENSG00000185838	138.6	97
ENSMUSG00000000889	283	283	ENSG00000123454	9	9
ENSMUSG00000000901	35.5	35.5	ENSG00000099953	22	22
ENSMUSG00000000902	220.5	220.5	ENSG00000099956	202.25	205.5
ENSMUSG00000000903	109.5	109.5	ENSG00000128218	54	54
ENSMUSG00000000915	135	135	ENSG00000130787	94	94
ENSMUSG00000000916	31	31	ENSG00000130305	23	21
ENSMUSG00000000934	44	44	ENSG00000184428	89.875	79.5
ENSMUSG00000000938	286	286	ENSG00000253293	310	310
ENSMUSG00000000942	65	65	ENSG00000197576	35.5	35.5
ENSMUSG00000000948	15	15	ENSG00000214265	15	15
ENSMUSG00000000957	243.5	243.5	ENSG00000157227	237.5	237.5
ENSMUSG00000000958	110.85714285714286	134	ENSG00000155465	169.92307692307693	132
ENSMUSG00000000959	14	14	ENSG00000155463	166	166
ENSMUSG00000000976	27	27	ENSG00000068097	7	7
ENSMUSG00000000982	78	78	ENSG00000277632	85	85
ENSMUSG00000000983	103	103	NA	NA	NA
ENSMUSG00000001014	81	81	ENSG00000105371	35.333333333333336	39
ENSMUSG00000001016	94	94	ENSG00000143621	61.666666666666664	60
ENSMUSG00000001017	390.6666666666667	268.5	ENSG00000160679	197.85714285714286	235
ENSMUSG00000001018	59	59	ENSG00000143553	41	41
ENSMUSG00000001020	25.5	25.5	ENSG00000196154	57.666666666666664	52
ENSMUSG00000001021	60.25	41.5	ENSG00000188015	60.666666666666664	78
ENSMUSG00000001023	12.333333333333334	13	ENSG00000196420	149	134
ENSMUSG00000001025	149	78	ENSG00000197956	108.16666666666667	90
ENSMUSG00000001029	297	297	ENSG00000108622	130.88888888888889	103
ENSMUSG00000001034	292.6	217	ENSG00000166484	196.16666666666666	211.5
ENSMUSG00000001036	116.16666666666667	116.5	ENSG00000072134	233.4	138.5
ENSMUSG00000001039	65	65	ENSG00000108641	103.72222222222223	98.5
ENSMUSG00000001052	239	239	ENSG00000138802	70	57
ENSMUSG00000001053	97.5	97.5	ENSG00000145911	135	135
ENSMUSG00000001054	177	177	ENSG00000145916	78.4	59
ENSMUSG00000001056	83	83	ENSG00000145912	49.5	49.5
ENSMUSG00000001062	134	134	ENSG00000075399	138.33333333333334	37
ENSMUSG00000001065	521	521	ENSG00000158805	171.5	187
ENSMUSG00000001076	89	89	ENSG00000186897	711	711
ENSMUSG00000001082	135.6	114	ENSG00000109736	125	52
ENSMUSG00000001089	93.33333333333333	97.5	ENSG00000169641	92	98.5
ENSMUSG00000001095	50	50	ENSG00000007216	147.4	77
ENSMUSG00000001098	67.5	67.5	ENSG00000110906	220.6	38
ENSMUSG00000001100	119	119	ENSG00000004142	47	47
ENSMUSG00000001103	77	77	ENSG00000274529	48	48
ENSMUSG00000001105	145.25	175	ENSG00000109083	101.9	105.5
ENSMUSG00000001119	255	255	ENSG00000142156	81	81
ENSMUSG00000001120	120.28571428571429	123	ENSG00000183570	114.22222222222223	106
ENSMUSG00000001123	84.33333333333333	108	ENSG00000249861	49	49
ENSMUSG00000001127	400	68.5	ENSG00000078061	45.333333333333336	47
ENSMUSG00000001128	101	101	ENSG00000126759	112.25	103.5
ENSMUSG00000001131	69	56	ENSG00000102265	42	39
ENSMUSG00000001134	46.5	46.5	ENSG00000126756	97.33333333333333	66
ENSMUSG00000001138	44	44	ENSG00000168763	21.5	21.5
ENSMUSG00000001143	38	38	ENSG00000114988	24	24
ENSMUSG00000001150	197	197	ENSG00000160294	193.33333333333334	147
ENSMUSG00000001151	138	138	ENSG00000160299	174	150
ENSMUSG00000001155	58	58	ENSG00000160282	174.75	50
ENSMUSG00000001156	153	153	ENSG00000059728	256	256
ENSMUSG00000001157	147.5	147.5	ENSG00000244234	72	72
ENSMUSG00000001158	42	42	NA	NA	NA
ENSMUSG00000001166	181	181	NA	NA	NA
ENSMUSG00000001168	24.5	24.5	ENSG00000089127	112.21428571428571	69.5
ENSMUSG00000001173	221	215	ENSG00000122126	173	173
ENSMUSG00000001175	136.5	118	ENSG00000198668	133.33333333333334	99
ENSMUSG00000001211	136.33333333333334	74	ENSG00000160216	245.2	126
ENSMUSG00000001225	106	106	ENSG00000091138	100.5	100.5
ENSMUSG00000001227	130.33333333333334	130	ENSG00000167680	167	155
ENSMUSG00000001228	108.4	81	ENSG00000276043	204.25	137.5
ENSMUSG00000001229	77.66666666666667	53	ENSG00000142002	134.46153846153845	110
ENSMUSG00000001240	223.5	223.5	ENSG00000131477	81	62
ENSMUSG00000001247	236.75	253.5	ENSG00000105699	281.1666666666667	254.5
ENSMUSG00000001248	145	145	ENSG00000089351	60.6	42
ENSMUSG00000001249	112.75	121	ENSG00000105707	214.83333333333334	129
ENSMUSG00000001260	398	398	ENSG00000163285	141	141
ENSMUSG00000001270	62	62	ENSG00000166165	38.5	38.5
ENSMUSG00000001280	59.5	59.5	ENSG00000185591	58.666666666666664	46
ENSMUSG00000001281	48.5	48.5	ENSG00000139626	66.8	77
ENSMUSG00000001285	32	32	ENSG00000139637	91	60
ENSMUSG00000001288	195	210	ENSG00000172819	159.42857142857142	159
ENSMUSG00000001289	169.25	93	ENSG00000123349	86.75	79
ENSMUSG00000001300	628	628	ENSG00000125266	698	698
ENSMUSG00000001305	50	50	ENSG00000067533	24	24
ENSMUSG00000001313	163	163	ENSG00000108830	117	117
ENSMUSG00000001323	149.66666666666666	167.5	ENSG00000167720	52	68
ENSMUSG00000001333	122	122	ENSG00000162520	103	103
ENSMUSG00000001334	191	191	ENSG00000160097	108.33333333333333	99.5
ENSMUSG00000001348	98	90.5	ENSG00000102575	167.27272727272728	144.5
ENSMUSG00000001349	114	114	ENSG00000130176	190.83333333333334	220
ENSMUSG00000001366	244	311	ENSG00000112146	173.6	172
ENSMUSG00000001376	120.33333333333333	119	ENSG00000004766	95.2	102
ENSMUSG00000001380	105	105	ENSG00000170445	87	73
ENSMUSG00000001383	66	66	ENSG00000146007	14	14
ENSMUSG00000001403	79.5	79.5	ENSG00000175063	84.85714285714286	52
ENSMUSG00000001415	164	164	ENSG00000198952	145	145
ENSMUSG00000001416	76.66666666666667	62	ENSG00000163468	81.66666666666667	83
ENSMUSG00000001418	59	59	ENSG00000198715	148.5	83.5
ENSMUSG00000001419	199	195	ENSG00000116604	160.5	132
ENSMUSG00000001420	108.4	123	ENSG00000163472	89	97.5
ENSMUSG00000001424	211.5	211.5	ENSG00000197157	180	180
ENSMUSG00000001435	132.66666666666666	99	ENSG00000182871	37.5	37.5
ENSMUSG00000001436	114.5	116.5	ENSG00000173638	162.5	102
ENSMUSG00000001440	296	296	ENSG00000108424	249	183
ENSMUSG00000001441	106.66666666666667	112	ENSG00000141279	83.5	55.5
ENSMUSG00000001444	194	194	ENSG00000073861	219	219
ENSMUSG00000001445	23.5	23.5	ENSG00000159111	143.5	52.5
ENSMUSG00000001467	439	439	ENSG00000001630	102.6	113
ENSMUSG00000001472	95.16666666666667	69.5	ENSG00000141002	98.88888888888889	76
ENSMUSG00000001473	41	41	ENSG00000176014	45.6	46
ENSMUSG00000001482	65.66666666666667	63.5	ENSG00000140995	79.5	52.5
ENSMUSG00000001493	369	369	ENSG00000005102	168.25	128
ENSMUSG00000001494	42	42	ENSG00000167941	50	50
ENSMUSG00000001496	219.66666666666666	46	ENSG00000257520	303	303
ENSMUSG00000001497	208.33333333333334	222	ENSG00000198807	318.6666666666667	333
ENSMUSG00000001504	242	242	ENSG00000170561	256.5	256.5
ENSMUSG00000001506	145	145	ENSG00000108821	118	118
ENSMUSG00000001507	245	284	ENSG00000005884	330	330
ENSMUSG00000001508	92.66666666666667	40	ENSG00000108823	36	36
ENSMUSG00000001510	203	203	ENSG00000064195	187	187
ENSMUSG00000001517	99	99	ENSG00000111206	145.2	121
ENSMUSG00000001518	93	105	ENSG00000111203	93	93
ENSMUSG00000001520	245	245	ENSG00000053702	52	52
ENSMUSG00000001521	60	60	ENSG00000078246	49	49
ENSMUSG00000001524	90.66666666666667	85	ENSG00000213780	119.33333333333333	158
ENSMUSG00000001525	253	253	ENSG00000196230	279	205
ENSMUSG00000001542	477.5	477.5	ENSG00000118985	130	130
ENSMUSG00000001552	64	61	ENSG00000173801	113	117.5
ENSMUSG00000001555	52.5	52.5	ENSG00000141756	28	28
ENSMUSG00000001558	109	109	ENSG00000161594	108	108
ENSMUSG00000001566	195	195	ENSG00000130675	239.66666666666666	313
ENSMUSG00000001569	14	14	ENSG00000146909	26	26
ENSMUSG00000001576	117.875	98	ENSG00000113719	119.45454545454545	95
ENSMUSG00000001583	60	51	ENSG00000174292	150	141
ENSMUSG00000001588	201	201	ENSG00000072818	206	206
ENSMUSG00000001604	97	97	ENSG00000204219	159.33333333333334	115
ENSMUSG00000001622	55.25	58	ENSG00000171209	50.333333333333336	69
ENSMUSG00000001627	160	160	ENSG00000006652	262.125	230
ENSMUSG00000001630	25.333333333333332	12	ENSG00000211455	29	29
ENSMUSG00000001632	248.14285714285714	257	ENSG00000156983	429	392.5
ENSMUSG00000001642	73	73	ENSG00000085662	38	38
ENSMUSG00000001655	85	85	ENSG00000123364	76	76
ENSMUSG00000001656	99	99	ENSG00000123388	115	115
ENSMUSG00000001657	173	173	ENSG00000037965	300	300
ENSMUSG00000001661	33	33	ENSG00000197757	597.3333333333334	192
ENSMUSG00000001663	219.5	219.5	NA	NA	NA
ENSMUSG00000001665	258	258	NA	NA	NA
ENSMUSG00000001666	119.5	119.5	ENSG00000099974	27	27
ENSMUSG00000001670	48	48	ENSG00000198650	48	48
ENSMUSG00000001672	78.5	78.5	ENSG00000140832	52.666666666666664	46
ENSMUSG00000001674	114	114	ENSG00000088205	87	87
ENSMUSG00000001687	394	431	ENSG00000122042	1079	1079
ENSMUSG00000001700	154.25	149.5	ENSG00000155324	196.66666666666666	118.5
ENSMUSG00000001707	65	65	ENSG00000124802	32.5	32.5
ENSMUSG00000001729	124.33333333333333	93	ENSG00000142208	425.4	265
ENSMUSG00000001739	171.33333333333334	238	ENSG00000106404	428	304
ENSMUSG00000001741	123.5	113.5	ENSG00000172349	197.42857142857142	166
ENSMUSG00000001750	185.75	135.5	ENSG00000110719	141.4	72
ENSMUSG00000001751	113	113	ENSG00000108784	32	32
ENSMUSG00000001755	174	126	ENSG00000068120	136.8	69
ENSMUSG00000001761	317	317	ENSG00000128602	519	519
ENSMUSG00000001763	215	215	ENSG00000158457	274	274
ENSMUSG00000001767	410	410	ENSG00000101343	78	78
ENSMUSG00000001768	103.83333333333333	97	ENSG00000132669	123	98
ENSMUSG00000001773	116.5	116.5	ENSG00000086205	153.2	123
ENSMUSG00000001774	181.5	181.5	ENSG00000110172	648.4285714285714	105
ENSMUSG00000001783	116	116	ENSG00000100220	91	91
ENSMUSG00000001785	112	112	ENSG00000136045	77.75	77.5
ENSMUSG00000001786	102.75	113	ENSG00000100225	169.75	167
ENSMUSG00000001794	68.6	54	ENSG00000126247	81.66666666666667	50
ENSMUSG00000001802	467	467	ENSG00000130881	456	456
ENSMUSG00000001804	134	134	ENSG00000175065	82	82
ENSMUSG00000001815	141	141	ENSG00000174279	186	186
ENSMUSG00000001823	74	74	ENSG00000170178	7	7
ENSMUSG00000001827	108	114.5	ENSG00000110195	121	66
ENSMUSG00000001829	107.33333333333333	106	ENSG00000162129	101.25	96.5
ENSMUSG00000001833	194	194	ENSG00000122545	156	153
ENSMUSG00000001844	104.5	115	ENSG00000136247	156	168
ENSMUSG00000001847	217.5	217.5	ENSG00000136238	203	203
ENSMUSG00000001855	128	128	ENSG00000126883	178.66666666666666	119
ENSMUSG00000001864	114.5	114.5	ENSG00000126878	104.33333333333333	88
ENSMUSG00000001865	10	10	ENSG00000163751	12	12
ENSMUSG00000001870	187	172	ENSG00000049323	161.2	113
ENSMUSG00000001891	157.66666666666666	187	ENSG00000169764	153.875	150
ENSMUSG00000001901	54.5	54.5	ENSG00000173826	51	56.5
ENSMUSG00000001909	174.6	103	ENSG00000104907	194.5	169
ENSMUSG00000001910	118	118	ENSG00000160877	175	191
ENSMUSG00000001911	372.25	218	ENSG00000008441	126.33333333333333	104
ENSMUSG00000001918	561	561	ENSG00000105281	159.6	79
ENSMUSG00000001924	214.5	214.5	ENSG00000130985	355	196
ENSMUSG00000001930	145.75	142.5	ENSG00000110799	250	250
ENSMUSG00000001942	142	166	ENSG00000110013	91.5	108
ENSMUSG00000001943	95	84	ENSG00000019102	87	87
ENSMUSG00000001946	143	143	ENSG00000149564	136	136
ENSMUSG00000001948	98	98	ENSG00000064199	499	49
ENSMUSG00000001962	182	182	ENSG00000071859	95	95
ENSMUSG00000001964	182.25	171	ENSG00000102119	156.66666666666666	190
ENSMUSG00000001983	187	187	ENSG00000136463	189	189
ENSMUSG00000001985	131	131	ENSG00000163873	214	214
ENSMUSG00000001986	142.33333333333334	130	ENSG00000125675	145	152
ENSMUSG00000001988	84	60	ENSG00000130751	89.25	82
ENSMUSG00000001995	133.6	114	ENSG00000116991	153.16666666666666	128
ENSMUSG00000001998	27	27	ENSG00000081014	82	84
ENSMUSG00000001999	73	64	ENSG00000106605	54.5	51.5
ENSMUSG00000002006	628	628	ENSG00000067840	229.33333333333334	246
ENSMUSG00000002007	46	46	ENSG00000184343	234.1818181818182	86
ENSMUSG00000002010	42	42	ENSG00000067829	82.66666666666667	55.5
ENSMUSG00000002012	65.25	78.5	ENSG00000130822	78.16666666666667	43
ENSMUSG00000002014	195	195	ENSG00000180879	312	82
ENSMUSG00000002015	51	51	ENSG00000185825	127	78.5
ENSMUSG00000002017	111	111	ENSG00000119812	74.66666666666667	66.5
ENSMUSG00000002020	251	248	ENSG00000119681	210.5	210.5
ENSMUSG00000002028	22	22	ENSG00000285827	243.25	90.5
ENSMUSG00000002031	124.4	97	ENSG00000118096	129.6	128
ENSMUSG00000002032	211.33333333333334	127	ENSG00000149582	114.5	39.5
ENSMUSG00000002033	111	111	ENSG00000160654	80	80
ENSMUSG00000002043	30	30	ENSG00000007255	14	14
ENSMUSG00000002052	235	235	ENSG00000109111	104	120
ENSMUSG00000002055	131	131	ENSG00000258472	24	24
ENSMUSG00000002057	46.5	46.5	ENSG00000109101	69.8	29
ENSMUSG00000002058	71.66666666666667	69	ENSG00000109103	1015.5	416.5
ENSMUSG00000002059	314.25	308.5	ENSG00000109113	141	53.5
ENSMUSG00000002064	274	274	ENSG00000132581	30	30
ENSMUSG00000002068	121	121	ENSG00000105173	81	57
ENSMUSG00000002076	81.25	49.5	ENSG00000160207	163.5	163.5
ENSMUSG00000002083	130.5	130.5	ENSG00000105327	150	164
ENSMUSG00000002100	109.2	77	ENSG00000134571	55	55
ENSMUSG00000002102	193.33333333333334	193	ENSG00000165916	138	161.5
ENSMUSG00000002103	24.5	24.5	ENSG00000134575	52.5	27.5
ENSMUSG00000002104	167.66666666666666	170	ENSG00000165917	175.5	175.5
ENSMUSG00000002105	114.83333333333333	107	ENSG00000165915	90.42857142857143	32
ENSMUSG00000002107	74.84615384615384	43	ENSG00000048740	130	109
ENSMUSG00000002108	169.2	152	ENSG00000025434	191.9090909090909	84
ENSMUSG00000002109	386	196	ENSG00000134574	163	163
ENSMUSG00000002111	391.3333333333333	187	ENSG00000066336	303.55555555555554	134
ENSMUSG00000002129	138	138	ENSG00000099995	102	102
ENSMUSG00000002147	142.5	142.5	ENSG00000166888	183.82608695652175	218
ENSMUSG00000002190	114.33333333333333	111	ENSG00000153132	82.5	98
ENSMUSG00000002204	236	236	ENSG00000131400	18	18
ENSMUSG00000002205	100.66666666666667	62	ENSG00000105053	111.66666666666667	61
ENSMUSG00000002210	139.5	139.5	ENSG00000105771	157.5	157.5
ENSMUSG00000002221	271	271	ENSG00000157212	195	195
ENSMUSG00000002222	498	498	ENSG00000153561	377	377
ENSMUSG00000002227	84.75	66	ENSG00000155363	167.16666666666666	111
ENSMUSG00000002228	31	31	ENSG00000155367	360	87.5
ENSMUSG00000002233	69.2	48	ENSG00000155366	208.08333333333334	63.5
ENSMUSG00000002240	109	109	ENSG00000187533	70.66666666666667	62
ENSMUSG00000002249	144.6	103	ENSG00000007866	132.66666666666666	167
ENSMUSG00000002250	96.16666666666667	83.5	ENSG00000112033	90.66666666666667	90
ENSMUSG00000002257	65	65	ENSG00000023892	27	27
ENSMUSG00000002265	147	139.5	ENSG00000198300	121.93333333333334	121
ENSMUSG00000002266	82.85714285714286	81	NA	NA	NA
ENSMUSG00000002274	43	6	ENSG00000103260	104	104
ENSMUSG00000002279	41.666666666666664	13	ENSG00000103227	125.83333333333333	108
ENSMUSG00000002280	32	32	ENSG00000103245	538	424
ENSMUSG00000002289	438	438	ENSG00000167772	160	160
ENSMUSG00000002297	147.33333333333334	168	ENSG00000006634	240	240
ENSMUSG00000002307	141.33333333333334	154	ENSG00000204209	88.14285714285714	96
ENSMUSG00000002308	103.5	103.5	ENSG00000167775	64	64
ENSMUSG00000002319	86	86	ENSG00000196497	29	29
ENSMUSG00000002320	232.66666666666666	240	ENSG00000259522	NA	NA
ENSMUSG00000002324	187	187	ENSG00000100918	357.3333333333333	473
ENSMUSG00000002325	228	174.5	ENSG00000213928	93.35	72.5
ENSMUSG00000002326	79.5	79.5	ENSG00000100938	207.66666666666666	253
ENSMUSG00000002329	134	134	NA	NA	NA
ENSMUSG00000002332	135.5	135.5	ENSG00000157379	156.33333333333334	200
ENSMUSG00000002341	76.5	76.5	ENSG00000130287	57	57
ENSMUSG00000002342	69.16666666666667	57	ENSG00000064545	35.666666666666664	38
ENSMUSG00000002343	181.5	181.5	ENSG00000105676	234	318
ENSMUSG00000002345	150.5	150.5	ENSG00000254901	163.75	74
ENSMUSG00000002346	55	55	ENSG00000181035	78	78
ENSMUSG00000002365	206	206	ENSG00000130340	142	190
ENSMUSG00000002372	28.5	28.5	ENSG00000031823	24.75	18.5
ENSMUSG00000002379	57.333333333333336	57	ENSG00000267740	NA	NA
